time,(G)
80.857143,-3.356228E-1
81.000000,-3.373029E-1
81.142857,-3.367390E-1
81.285714,-3.353805E-1
81.428571,-3.367924E-1
81.571429,-3.368184E-1
81.714286,-3.399768E-1
81.857143,-3.372943E-1
82.000000,-3.403402E-1
82.142857,-3.434237E-1
82.285714,-3.380269E-1
82.428571,-3.383500E-1
82.571429,-3.372827E-1
82.714286,-3.373606E-1
82.857143,-3.344603E-1
83.000000,-3.316120E-1
83.142857,-3.337407E-1
83.285714,-3.413166E-1
83.428571,-3.469167E-1
83.571429,-3.510169E-1
83.714286,-3.517452E-1
83.857143,-3.521245E-1
84.000000,-3.558815E-1
84.142857,-3.528067E-1
84.285714,-3.524519E-1
84.428571,-3.531600E-1
84.571429,-3.517597E-1
84.714286,-3.544249E-1
84.857143,-3.531485E-1
85.000000,-3.522731E-1
85.142857,-3.541119E-1
85.285714,-3.546253E-1
85.428571,-3.577117E-1
85.571429,-3.517871E-1
85.714286,-3.544667E-1
85.857143,-3.568204E-1
86.000000,-3.565002E-1
86.142857,-3.493800E-1
86.285714,-3.493483E-1
86.428571,-3.464884E-1
86.571429,-3.487469E-1
86.714286,-3.473595E-1
86.857143,-3.472513E-1
87.000000,-3.479623E-1
87.142857,-3.440929E-1
87.285714,-3.464177E-1
87.428571,-3.472066E-1
87.571429,-3.495055E-1
87.714286,-3.489070E-1
87.857143,-3.471215E-1
88.000000,-3.444520E-1
88.142857,-3.475801E-1
88.285714,-3.458913E-1
88.428571,-3.466932E-1
88.571429,-3.536706E-1
88.714286,-3.561815E-1
88.857143,-3.557791E-1
89.000000,-3.580823E-1
89.142857,-3.588798E-1
89.285714,-3.621046E-1
89.428571,-3.591337E-1
89.571429,-3.579366E-1
89.714286,-3.618724E-1
89.857143,-3.613302E-1
90.000000,-3.619619E-1
90.142857,-3.602773E-1
90.285714,-3.592563E-1
90.428571,-3.607057E-1
90.571429,-3.592678E-1
90.714286,-3.588539E-1
90.857143,-3.594394E-1
91.000000,-3.601403E-1
91.142857,-3.640660E-1
91.285714,-3.612955E-1
91.428571,-3.597351E-1
91.571429,-3.588409E-1
91.714286,-3.614931E-1
91.857143,-3.607446E-1
92.000000,-3.591279E-1
92.142857,-3.571982E-1
92.285714,-3.545907E-1
92.428571,-3.586938E-1
92.571429,-3.578213E-1
92.714286,-3.556392E-1
92.857143,-3.551763E-1
93.000000,-3.592563E-1
93.142857,-3.624118E-1
93.285714,-3.584688E-1
93.428571,-3.613792E-1
93.571429,-3.646069E-1
93.714286,-3.649227E-1
